Date,Short Volume,Total Volume
2015-12-31,58641.0,89335.0
2015-12-30,42355.0,62661.0
2015-12-29,72990.0,102956.0
2015-12-28,57194.0,77461.0
2015-12-24,15666.0,23265.0
2015-12-23,38127.0,67145.0
2015-12-22,59112.0,86138.0
2015-12-21,74352.0,108977.0
2015-12-18,101976.0,151727.0
2015-12-17,69075.0,101749.0
2015-12-16,106397.0,154791.0
2015-12-15,64691.0,139797.0
2015-12-14,79831.0,155654.0
2015-12-11,79650.0,126712.0
2015-12-10,44300.0,84215.0
2015-12-09,79337.0,150720.0
2015-12-08,40750.0,74100.0
2015-12-07,65300.0,155584.0
2015-12-04,59058.0,115712.0
2015-12-03,55145.0,102498.0
2015-12-02,54995.0,118716.0
2015-12-01,58288.0,110989.0
2015-11-30,42701.0,81708.0
2015-11-27,28486.0,43030.0
2015-11-25,24765.0,46550.0
2015-11-24,62104.0,120934.0
2015-11-23,43062.0,91224.0
2015-11-20,106362.0,165386.0
2015-11-19,52218.0,80385.0
2015-11-18,41397.0,86396.0
2015-11-17,43684.0,79314.0
2015-11-16,86099.0,150563.0
2015-11-13,85443.0,143861.0
2015-11-12,59457.0,107375.0
2015-11-11,64153.0,111990.0
2015-11-10,43064.0,56828.0
2015-11-09,49339.0,72231.0
2015-11-06,41621.0,77059.0
2015-11-05,54519.0,71904.0
2015-11-04,40018.0,70556.0
2015-11-03,28656.0,57411.0
2015-11-02,33586.0,62982.0
2015-10-30,37788.0,68260.0
2015-10-29,44000.0,63418.0
2015-10-28,28617.0,54654.0
2015-10-27,43080.0,55122.0
2015-10-26,48056.0,75406.0
2015-10-23,139153.0,209213.0
2015-10-22,54131.0,132869.0
2015-10-21,29854.0,76650.0
2015-10-20,39201.0,85731.0
2015-10-19,26161.0,43073.0
2015-10-16,29791.0,46478.0
2015-10-15,55538.0,73659.0
2015-10-14,37773.0,55023.0
2015-10-13,47376.0,79712.0
2015-10-12,23417.0,46955.0
2015-10-09,37229.0,70065.0
2015-10-08,39135.0,72244.0
2015-10-07,51585.0,89075.0
2015-10-06,41405.0,72041.0
2015-10-05,40448.0,61994.0
2015-10-02,61131.0,83561.0
2015-10-01,38190.0,70851.0
2015-09-30,52343.0,80612.0
2015-09-29,39900.0,80024.0
2015-09-28,41855.0,86579.0
2015-09-25,39445.0,87059.0
2015-09-24,33616.0,58345.0
2015-09-23,35585.0,52896.0
2015-09-22,52579.0,76763.0
2015-09-21,34568.0,50565.0
2015-09-18,54274.0,87770.0
